socioeconomic_group,region,state,urban_rural,school_network,count,mean,median,std
Alto,Nordeste,AL,Urbana,Privada,18,264.21367084966516,265.67634146060607,18.01737374991664
Alto,Nordeste,AL,Urbana,Pública,3,273.63995090695164,274.1032761616829,9.859985330794627
Alto,Nordeste,BA,Rural,Pública,6,228.52755469866827,224.7446874264706,9.240606737212035
Alto,Nordeste,BA,Urbana,Privada,4,260.2725707809965,259.0463614256293,9.894385891957636
Alto,Nordeste,BA,Urbana,Pública,27,260.9013829149323,260.3101504907528,13.908691452112429
Alto,Nordeste,CE,Rural,Pública,2,262.7133584660157,262.7133584660157,7.178105088268529
Alto,Nordeste,CE,Urbana,Privada,11,279.8510465216302,278.14360014285717,22.18785385968682
Alto,Nordeste,CE,Urbana,Pública,6,288.7343726040014,277.89127730987263,35.82340856939635
Alto,Nordeste,MA,Rural,Privada,2,257.6786953345588,257.6786953345588,13.036804745348933
Alto,Nordeste,MA,Rural,Pública,1,255.08530709635218,255.08530709635218,
Alto,Nordeste,MA,Urbana,Privada,13,272.54090346463084,274.90181369230777,23.372891560541813
Alto,Nordeste,MA,Urbana,Pública,11,281.91701003051406,279.6734699477673,31.251746918340768
Alto,Nordeste,PB,Rural,Privada,1,265.5227469411765,265.5227469411765,
Alto,Nordeste,PB,Urbana,Privada,15,275.10631320697115,280.1767982307692,15.862290001652772
Alto,Nordeste,PB,Urbana,Pública,17,248.26542786089533,247.01544499204553,12.400468037277719
Alto,Nordeste,PE,Urbana,Privada,14,278.78214884845613,267.80318905555555,20.686591655398555
Alto,Nordeste,PE,Urbana,Pública,15,289.2555545600027,284.9241775675146,26.453592432811515
Alto,Nordeste,PI,Urbana,Privada,26,282.63820460096963,280.6407695432331,19.404865472607742
Alto,Nordeste,PI,Urbana,Pública,4,273.8270299008257,267.65972067410786,27.309118999813464
Alto,Nordeste,RN,Rural,Privada,1,310.07552229166663,310.07552229166663,
Alto,Nordeste,RN,Rural,Pública,1,242.68156521875,242.68156521875,
Alto,Nordeste,RN,Urbana,Privada,16,270.1891609466724,274.9643690203619,15.756632673538128
Alto,Nordeste,RN,Urbana,Pública,13,256.9653976067442,263.2409390491055,14.452700872783797
Alto,Nordeste,SE,Urbana,Privada,14,266.36695709927807,264.6958078472222,18.964218225735216
Alto,Nordeste,SE,Urbana,Pública,6,249.16961969302986,251.01218286131683,8.846770937163337
Alto,Norte,AC,Urbana,Privada,1,299.2531098421054,299.2531098421054,
Alto,Norte,AC,Urbana,Pública,12,264.6017036563694,265.7418272643128,11.436320393437317
Alto,Norte,AM,Rural,Pública,2,252.28049815399217,252.28049815399217,0.20662185594748178
Alto,Norte,AM,Urbana,Privada,2,262.40943465,262.40943465,16.510510096381044
Alto,Norte,AM,Urbana,Pública,34,263.38629731124024,263.77516599905414,17.426996769808067
Alto,Norte,AP,Urbana,Privada,1,305.9430453589743,305.9430453589743,
Alto,Norte,AP,Urbana,Pública,9,243.27169770849346,243.25012354113204,7.3699564377968825
Alto,Norte,PA,Rural,Pública,2,252.1379903791344,252.1379903791344,3.399789356240998
Alto,Norte,PA,Urbana,Privada,12,264.06290171745263,261.4413203035714,9.661188173110247
Alto,Norte,PA,Urbana,Pública,15,254.1545291330178,253.4330155340312,8.014412707756584
Alto,Norte,RO,Rural,Privada,1,260.1034389285714,260.1034389285714,
Alto,Norte,RO,Rural,Pública,10,250.5770967904994,256.88006937535613,19.692456087418527
Alto,Norte,RO,Urbana,Privada,2,288.3446011524064,288.3446011524064,7.41031673099964
Alto,Norte,RO,Urbana,Pública,51,252.657902982426,252.32681588304666,13.240066582264665
Alto,Norte,RR,Rural,Pública,2,217.60836469505495,217.60836469505495,2.9916291609223014
